# ----------------------------------------
# Demographic details: City
# Account: Outer Banks CDJR
# Property: American Bathroom Remodelers
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260913
City,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
(not set),1469,2818,277,0.10637480798771122,0.18856364874063988,7.364874063989109,9361,0,0,0
New York,1306,1967,60,0.0357355568790947,0.045941807044410414,1.9241960183767228,6123,0,0,0
San Diego,984,1886,803,0.4021031547320981,0.8160569105691057,72.1290650406504,10874,9,0.006097560975609756,0
Chicago,926,1245,30,0.027522935779816515,0.032397408207343416,5.08963282937365,3837,0,0,0
Los Angeles,621,945,222,0.2860824742268041,0.357487922705314,30.610305958132045,3978,0,0,0
McAlester,125,250,0,0,0,0,750,0,0,0
Frankfurt am Main,113,226,4,0.017857142857142856,0.035398230088495575,0.3008849557522124,687,0,0,0
Jakarta,103,205,0,0,0,0.1553398058252427,622,0,0,0
Chula Vista,97,180,67,0.42138364779874216,0.6907216494845361,48.04123711340206,934,0,0,0
Denver,90,126,21,0.1875,0.23333333333333334,5.566666666666666,412,0,0,0
El Cajon,89,169,69,0.46,0.7752808988764045,51.80898876404494,820,0,0,0
Houston,87,161,11,0.0738255033557047,0.12643678160919541,5.839080459770115,514,0,0,0
Santa Clara,77,151,8,0.06015037593984962,0.1038961038961039,3.727272727272727,498,0,0,0
London,76,151,10,0.0684931506849315,0.13157894736842105,3.0789473684210527,499,0,0,0
Ashburn,68,125,18,0.15517241379310345,0.2647058823529412,10.75,489,0,0,0
Oceanside,68,128,47,0.3643410852713178,0.6911764705882353,65.11764705882354,664,0,0,0
Carlsbad,59,114,54,0.4090909090909091,0.9152542372881356,88.8135593220339,698,1,0.01694915254237288,0
Tirana,50,97,3,0.031578947368421054,0.06,0,294,0,0,0
Sydney,45,90,6,0.06666666666666667,0.13333333333333333,4.688888888888889,288,0,0,0
Leesburg,44,88,0,0,0,0,264,0,0,0
Madrid,44,88,0,0,0,0,266,0,0,0
Santee,44,82,26,0.33766233766233766,0.5909090909090909,64.43181818181819,346,0,0,0
Atlanta,43,82,14,0.1891891891891892,0.32558139534883723,21.813953488372093,296,0,0,0
Escondido,40,76,28,0.5185185185185185,0.7,45.6,350,0,0,0
Washington,38,75,7,0.10606060606060606,0.18421052631578946,7.815789473684211,265,0,0,0
Yerevan,38,75,4,0.05333333333333334,0.10526315789473684,0,229,0,0,0
Kabul,36,62,3,0.05,0.08333333333333333,0,189,0,0,0
Reston,36,72,1,0.014285714285714285,0.027777777777777776,3.5833333333333335,227,0,0,0
Davao City,34,55,83,0.6014492753623188,2.4411764705882355,202.55882352941177,1193,3,0.058823529411764705,0
North Bethesda,34,68,5,0.07462686567164178,0.14705882352941177,7.235294117647059,229,0,0,0
Secaucus,34,68,0,0,0,0,206,0,0,0
Slough,33,66,0,0,0,0,199,0,0,0
San Jose,32,62,30,0.5263157894736842,0.9375,39.65625,311,1,0.03125,0
La Mesa,31,59,36,0.4090909090909091,1.1612903225806452,66.6774193548387,435,0,0,0
Dallas,30,57,17,0.3333333333333333,0.5666666666666667,48.333333333333336,260,0,0,0
Dubai,30,59,5,0.08620689655172414,0.16666666666666666,0.3333333333333333,186,0,0,0
Toronto,30,60,5,0.09259259259259259,0.16666666666666666,4.2,211,0,0,0
Lahore,29,57,40,0.6779661016949152,1.3793103448275863,16.75862068965517,287,0,0,0
Phoenix,29,56,14,0.28,0.4827586206896552,35.86206896551724,207,3,0.034482758620689655,0
Las Vegas,28,48,23,0.4339622641509434,0.8214285714285714,25.178571428571427,241,0,0,0
Charlotte,27,53,5,0.10416666666666667,0.18518518518518517,14.703703703703704,219,0,0,0
Pittsburgh,27,52,5,0.10204081632653061,0.18518518518518517,6.851851851851852,169,0,0,0
Glenview,26,50,0,0,0,0,150,0,0,0
Hong Kong,26,50,3,0.08823529411764706,0.11538461538461539,1.1538461538461537,162,0,0,0
Manila,25,50,1,0.02040816326530612,0.04,0.52,155,0,0,0
San Antonio,25,50,2,0.045454545454545456,0.08,3.68,172,0,0,0
Cheyenne,24,47,20,0.4444444444444444,0.8333333333333334,22.416666666666668,184,0,0,0
San Francisco,24,36,12,0.36363636363636365,0.5,18.083333333333332,149,0,0,0
Aubervilliers,23,46,0,0,0,0,139,0,0,0
Elk Grove Village,23,46,2,0.047619047619047616,0.08695652173913043,2.4782608695652173,141,0,0,0
Miami,23,44,12,0.32432432432432434,0.5217391304347826,32.08695652173913,173,0,0,0
Paris,23,40,8,0.18604651162790697,0.34782608695652173,3.8260869565217392,152,0,0,0
Philadelphia,23,46,5,0.11904761904761904,0.21739130434782608,1.391304347826087,152,0,0,0
Tulsa,23,46,5,0.10869565217391304,0.21739130434782608,3.130434782608696,150,0,0,0
Dhaka,22,43,32,0.6956521739130435,1.4545454545454546,160.36363636363637,401,0,0,0
Forest City,22,41,12,0.2857142857142857,0.5454545454545454,2.909090909090909,141,0,0,0
San Marcos,22,44,14,0.42424242424242425,0.6363636363636364,68.31818181818181,206,0,0,0
Alcobendas,21,42,0,0,0,0,126,0,0,0
Council Bluffs,21,42,12,0.36363636363636365,0.5714285714285714,12.285714285714286,147,0,0,0
Honolulu,21,32,4,0.15384615384615385,0.19047619047619047,9.523809523809524,117,0,0,0
Oklahoma City,21,42,3,0.07894736842105263,0.14285714285714285,40.80952380952381,143,0,0,0
Portland,21,30,12,0.375,0.5714285714285714,18.857142857142858,117,0,0,0
Massapequa Park,20,40,0,0,0,0,120,0,0,0
Oak Lawn,20,40,0,0,0,0,120,0,0,0
Prineville,20,40,16,0.42105263157894735,0.8,7.5,140,0,0,0
Seattle,20,37,17,0.5483870967741935,0.85,57.35,187,0,0,0
Vista,20,37,17,0.5,0.85,59.9,197,0,0,0
