# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: Outer Banks CDJR
# Property: American Bathroom Remodelers
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260913
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/guide-to-ada-bathroom-layouts-with-showers-for-accessibility/,336,41181,0.00815910249872514,16.979553677666885,413,312,0.7238979118329466,43.46246973365617,2138,1,0
/?utm_campaign=gmb,244,38031,0.006415818674239436,8.007730535615682,0,0,0,0,0,0,0
/,205,143790,0.0014256902427150706,21.619841435426665,463,469,0.7675941080196399,71.58315334773218,3747,7,0
/ada-bathroom-vanities-essential-features-for-inclusive-design/,137,27260,0.005025678650036684,9.13459280997799,117,88,0.7154471544715447,35.07692307692308,585,8,0
/10-questions-to-ask-when-choosing-a-contractor-for-your-bathroom-remodel/,17,2142,0.007936507936507936,18.871615312791782,15,14,0.7368421052631579,69.2,81,0,0
/the-ugly-truth-about-diy-demolition-day-what-you-should-know-before-you-demo-a-bathroom-yourself/,17,4065,0.004182041820418204,9.370971709717097,15,11,0.7333333333333333,63.4,62,0,0
/your-guide-to-ada-compliant-and-accessible-bathroom-design/,16,12963,0.0012342821877651777,36.51778137776749,12,10,0.8333333333333334,19.75,55,0,0
/ada-compliant/,13,2576,0.005046583850931677,40.525621118012424,14,13,0.8666666666666667,38.642857142857146,76,0,0
/camp-pendleton/,12,3807,0.0031520882584712374,10.736537956396113,11,6,0.5,44.63636363636363,46,0,0
/space-saving-ada-bathroom-layouts-for-compact-commercial-spaces/,12,5182,0.0023157082207641835,19.931493631802393,18,9,0.5,31.333333333333332,81,0,0
/small-bathroom-big-ideas-for-san-diego-renovations/,6,2000,0.003,16.458,4,5,1,108.5,39,0,0
/the-benefits-of-a-one-day-bathroom-remodel-in-san-diego/,4,5078,0.0007877116975187081,32.000393855848756,5,4,0.8,45.6,33,0,0
/alpine/,3,1397,0.0021474588403722263,9.7680744452398,2,0,0,0,6,0,0
/5-ways-to-keep-your-bathroom-free-of-mold-mildew/,2,2636,0.0007587253414264037,17.150986342943856,16,10,0.5882352941176471,26.4375,68,0,0
