old_url,disposition,new_url,status,reason,gsc_impressions,gsc_position
/about-us/,preserve,/about-us/,200,published in WordPress,491,5.5
/alexandria/,preserve,/alexandria/,200,published in WordPress,0,
/alexandria/accessible-bathroom/,preserve,/alexandria/accessible-bathroom/,200,published in WordPress,4,10.5
/alexandria/shower-remodel/,preserve,/alexandria/shower-remodel/,200,published in WordPress,11,9.7
/alexandria/tub-to-shower-conversions/,preserve,/alexandria/tub-to-shower-conversions/,200,published in WordPress,38,25.9
/alexandria/walk-in-bathtubs/,preserve,/alexandria/walk-in-bathtubs/,200,published in WordPress,9,3.6
/bath-conversions/,preserve,/bath-conversions/,200,published in WordPress,546,42.9
/bath-conversions/shower-to-tub-conversions/,preserve,/bath-conversions/shower-to-tub-conversions/,200,published in WordPress,15,8.5
/bath-conversions/therapeutic-tubs/,preserve,/bath-conversions/therapeutic-tubs/,200,published in WordPress,15,15.7
/bath-conversions/tub-to-shower-conversions/,preserve,/bath-conversions/tub-to-shower-conversions/,200,published in WordPress,1902,26.5
/bath-conversions/walk-in-bathtubs/,preserve,/bath-conversions/walk-in-bathtubs/,200,published in WordPress,253,28.7
/bath-conversions/walk-in-shower/,preserve,/bath-conversions/walk-in-shower/,200,published in WordPress,265,26.0
/bathroom-remodeling-annapolis-md/,preserve,/bathroom-remodeling-annapolis-md/,200,published in WordPress,15,19.7
/bathrooms/,preserve,/bathrooms/,200,published in WordPress,442,19.2
/bathrooms/accessible-bathroom/,preserve,/bathrooms/accessible-bathroom/,200,published in WordPress,516,33.9
/bathrooms/bath-surrounds/,preserve,/bathrooms/bath-surrounds/,200,published in WordPress,113,24.8
/bathrooms/bathroom-renovations/,preserve,/bathrooms/bathroom-renovations/,200,published in WordPress,867,35.0
/bathrooms/installation/,preserve,/bathrooms/installation/,200,published in WordPress,413,41.4
/bathrooms/one-day-bath/,preserve,/bathrooms/one-day-bath/,200,published in WordPress,512,27.8
/bathrooms/replacement-bathtubs/,preserve,/bathrooms/replacement-bathtubs/,200,published in WordPress,43,43.3
/blog/,preserve,/blog/,200,published in WordPress,13,5.6
/blog/accessible-bathroom-remodeling-fredericksburg-va/,preserve,/blog/accessible-bathroom-remodeling-fredericksburg-va/,200,published in WordPress,0,
/blog/bathroom-remodeling-small-spaces-alexandria/,preserve,/blog/bathroom-remodeling-small-spaces-alexandria/,200,published in WordPress,2,6.5
/blog/columbia-md-bathroom-remodeling-top-design-trends-for-2026/,preserve,/blog/columbia-md-bathroom-remodeling-top-design-trends-for-2026/,200,published in WordPress,3,35.7
/blog/creating-an-accessible-bathroom-in-frederick-md-a-guide-for-homeowners/,preserve,/blog/creating-an-accessible-bathroom-in-frederick-md-a-guide-for-homeowners/,200,published in WordPress,14,5.9
/blog/custom-shower-enclosures-in-college-park-modernize-your-bathroom-today/,preserve,/blog/custom-shower-enclosures-in-college-park-modernize-your-bathroom-today/,200,published in WordPress,7,35.3
/blog/high-quality-bath-renovation-in-annapolis-md-clear-day-bath-solutions/,preserve,/blog/high-quality-bath-renovation-in-annapolis-md-clear-day-bath-solutions/,200,published in WordPress,8,5.0
/blog/modern-replacement-showers-for-fredericksburg-homes-clear-day-bath-solutions/,preserve,/blog/modern-replacement-showers-for-fredericksburg-homes-clear-day-bath-solutions/,200,published in WordPress,0,
/blog/modern-shower-doors-prince-georges-county/,preserve,/blog/modern-shower-doors-prince-georges-county/,200,published in WordPress,0,
/blog/one-day-bath-options-for-busy-waldorf-md-families/,preserve,/blog/one-day-bath-options-for-busy-waldorf-md-families/,200,published in WordPress,2,11.0
/blog/page/2/,preserve,/blog/page/2/,200,GSC-indexed blog pagination,1,15.0
/blog/relax-and-rejuvenate-the-benefits-of-therapeutic-tubs-in-warrenton-va/,preserve,/blog/relax-and-rejuvenate-the-benefits-of-therapeutic-tubs-in-warrenton-va/,200,published in WordPress,0,
/blog/shower-tub-conversions-davidsonville-md/,preserve,/blog/shower-tub-conversions-davidsonville-md/,200,published in WordPress,1,10.0
/blog/signs-replacement-bathtub-woodbridge-va/,preserve,/blog/signs-replacement-bathtub-woodbridge-va/,200,published in WordPress,1,5.0
/blog/stylish-bath-surrounds-capital-heights/,preserve,/blog/stylish-bath-surrounds-capital-heights/,200,published in WordPress,2,6.0
/blog/the-long-lasting-benefits-of-acrylic-showers-for-hagerstown-homes/,preserve,/blog/the-long-lasting-benefits-of-acrylic-showers-for-hagerstown-homes/,200,published in WordPress,4,23.2
/blog/the-ultimate-guide-to-walk-in-bathtubs-in-stafford-va-safety-meets-luxury/,preserve,/blog/the-ultimate-guide-to-walk-in-bathtubs-in-stafford-va-safety-meets-luxury/,200,published in WordPress,0,
/blog/top-benefits-of-a-one-day-bath-in-woodbridge-va/,preserve,/blog/top-benefits-of-a-one-day-bath-in-woodbridge-va/,200,published in WordPress,7,2.9
/blog/top-professional-shower-remodel-tips-for-your-manassas-home/,preserve,/blog/top-professional-shower-remodel-tips-for-your-manassas-home/,200,published in WordPress,1,2.0
/blog/why-alexandria-homeowners-are-choosing-tub-to-shower-conversions/,preserve,/blog/why-alexandria-homeowners-are-choosing-tub-to-shower-conversions/,200,published in WordPress,34,5.0
/careers/,preserve,/careers/,200,published in WordPress,26,7.0
/contact-us/,preserve,/contact-us/,200,published in WordPress,255,19.2
/financing/,preserve,/financing/,200,published in WordPress,46,8.6
/frederick-bathroom-remodeling/,preserve,/frederick-bathroom-remodeling/,200,published in WordPress,3,15.3
/frederick-shower-remodel/,preserve,/frederick-shower-remodel/,200,published in WordPress,5,4.4
/frederick-tub-to-shower-conversions/,preserve,/frederick-tub-to-shower-conversions/,200,published in WordPress,7,5.0
/frederick-walk-in-bathtubs/,preserve,/frederick-walk-in-bathtubs/,200,published in WordPress,33,8.6
/fredericksburg/,preserve,/fredericksburg/,200,published in WordPress,9,11.2
/fredericksburg/accessible-bathroom/,preserve,/fredericksburg/accessible-bathroom/,200,published in WordPress,73,8.0
/fredericksburg/shower-remodel/,preserve,/fredericksburg/shower-remodel/,200,published in WordPress,47,43.9
/fredericksburg/tub-to-shower-conversions/,preserve,/fredericksburg/tub-to-shower-conversions/,200,published in WordPress,23,18.9
